source,source_id,period,duration,depth,radius,eqt,insol,st_teff,st_logg,st_rad,ra,dec,label,label_raw,mission_code
,3607.01,3.5884855,2.481,6810.0,,,,,,,310.704952,58.514945,candidate,PC,TESS
,3608.01,2.6816329,2.695,3100.0,13.2689,1829.0,1859.62,7047.0,3.89,2.34,312.456261,56.896568,false_positive,FP,TESS
,3609.01,6.3854622,3.682,6720.0,9.57629,1064.0,213.106,5519.0,4.29,1.17,312.382517,59.710013,candidate,PC,TESS
,361.01,1.5351652,0.9492628,2977.63065,6.8350786,1040.977661,277.5151143,4215.0,4.59,0.744573,353.903687,-44.808809,candidate,APC,TESS
,3610.01,1.7384809,2.6777485,3882.897422,12.9358521,1915.621068,3182.434108,5540.0,3.95,1.72093,298.705925,58.301643,false_positive,FP,TESS
,3611.01,3.0789699,3.709,9695.0,15.4449,1679.0,1319.62,6153.0,4.08,1.64,344.964568,50.681902,candidate,PC,TESS
,3612.01,1.4822451,1.595,21920.0,14.0641,1278.0,442.993,5115.0,4.45,0.91,305.221945,59.448903,planet,KP,TESS
,3613.01,3.1493729,2.708,18830.0,13.6409,1293.0,465.25,5766.0,4.49,0.96,303.361066,58.799138,candidate,PC,TESS
,3614.01,2.9708603,3.122,4020.0,,,,,,,303.777678,59.676573,false_positive,FA,TESS
,3615.01,3.1315583,3.737,5140.0,11.2819,1589.0,1058.47,5684.0,3.99,1.69,349.417344,44.648308,candidate,PC,TESS
,3616.01,2.4188647,2.5,5441.0,20.8975,1903.0,2177.78,7316.0,3.73,2.9,346.752412,47.044576,candidate,PC,TESS
,3617.01,3.2337884,2.102,9188.0,15.3732,1219.0,366.758,6065.0,4.06,1.64,346.125597,45.324754,candidate,PC,TESS
,3618.01,3.4898546,1.567,14004.0,14.1029,1005.0,169.429,6083.0,4.34,1.2,340.514856,52.343679,candidate,PC,TESS
,3619.01,3.1988858,3.4044306,12106.57045,19.4201044,1673.269034,1852.610398,6133.0,4.04,1.7076499,338.755425,54.07911,candidate,PC,TESS
,362.01,14.2337615,2.5070875,4283.074361,6.823525,751.8284274,75.5085226,5692.0,4.41,1.03392,353.23837,-28.319813,candidate,PC,TESS
,3620.01,4.8893985,2.848,6907.0,12.8723,1081.0,227.422,5639.0,4.02,1.62,20.799194,33.24341,candidate,PC,TESS
,3621.01,5.6902814,2.344,21290.0,12.9495,925.0,121.736,5400.1,,0.86,11.88786,21.938552,false_positive,FP,TESS
,3622.01,3.2131823,3.325,13772.0,13.6367,1450.0,734.312,5688.6,4.22,1.3,14.164419,39.891611,candidate,PC,TESS
,3623.01,5.7456862,3.339,9441.0,10.8845,1117.0,258.608,5867.3,4.31,1.19,16.179358,40.614962,candidate,PC,TESS
,3624.01,7.6460931,3.508,3132.0,8.25522,1056.0,206.451,6065.0,4.15,1.49,15.193796,15.166164,candidate,PC,TESS
,3625.01,2.9708659,3.4295536,11761.99843,14.8135617,1495.248708,1181.339554,6122.0,4.27,1.30269,303.777268,59.67691,candidate,PC,TESS
,3626.01,19.8875338,1.34,3020.0,13.605,565.0,17.0243,5856.2,4.07,1.57,18.55398,19.470441,false_positive,FP,TESS
,3627.01,2.6342729,3.998,3190.0,,,,,,,314.040517,57.708367,false_positive,FP,TESS
,3628.01,3.4945148,2.555,8254.0,11.03,1215.0,362.88,5699.0,4.29,1.2,12.866044,47.662806,candidate,PC,TESS
,3629.01,3.9365629,2.19,15461.0,8.09927,706.0,41.2897,3689.0,4.64,0.61,359.793385,39.314256,planet,CP,TESS
,363.01,8.22388,1.834,16190.0,12.4698,618.0,24.2523,5177.0,4.39,0.99,20.547265,-44.862146,candidate,APC,TESS
,3630.01,1.9617969,2.7570171,14086.2146,13.2107214,1560.10385,1400.022566,6026.0,4.41,1.09703,21.871101,38.968114,planet,KP,TESS
,3631.01,2.6340964,3.477,2250.0,4.1106,1601.0,1091.48,5163.2,,0.83,314.040512,57.708379,false_positive,FP,TESS
,3632.01,3.2403602,3.216,9687.0,12.8678,1627.0,1165.99,6605.4,4.31,1.36,17.093448,37.700652,candidate,PC,TESS
,3633.01,2.5266409,1.502,2690.0,18.3972,1463.0,761.094,7233.0,3.54,3.6,313.317214,58.094593,candidate,PC,TESS
,3634.01,5.0859432,2.57,7091.0,13.8966,,756.586,6360.4,,1.48,12.569587,27.568806,false_positive,FP,TESS
,3635.01,1.8048106,4.3641932,4555.968254,14.8028768,2238.402212,5932.988506,5972.0,3.81,2.1619599,349.3018,44.612336,candidate,PC,TESS
,3636.01,4.2186625,3.2580998,18527.65252,13.6976778,1071.660327,311.7091966,5425.9,4.41,1.0068901,21.065125,32.8107,planet,KP,TESS
,3637.01,3.7330471,5.863,22330.0,,1705.0,1403.06,5579.5,,,329.231607,53.826531,candidate,PC,TESS
